Han character,Source,Source 2,Location,Provider,Contributor,Contributed Date
"{珍,真}鳥{仔,囝}, 啄 菠菠(鼠麴草), 三歲 {昵仔,伲囝} 會 唱歌. {不,伓}是 {爸嬭,罷奶} 教 奴 唱, 是 奴 腹佬 有 經歌.","游桂香. 閩東學館[EB/OL]. 馬祖民俗文化館, [2020-10-29]. http://folklore.dbodm.com/index.php?code=list&flag=detail&ids=252&article_id=12.",,masu,游桂香,关彳山,2020-10-29
"真鳥{仔,囝}, 啄 菠菠, 三歲 孩兒 會 唱歌. {不,伓}是 罷奶 教 奴 唱, 是 奴 腹老 通通 歌.","王楊林. 探福州民謠「真鳥仔」來歷 韻調變幻多端[N/OL]. 福州晚報, 2012-10-25. http://www.matsu-news.gov.tw/2010web/news_detail_101.php?CMD=open&UID=145773.","",fzho,方炳桂,关彳山,2020-10-30
